"","terms","count","probability"
"654","comfort",29,0.000333525014376078
"655","critic",29,0.000333525014376078
"656","custom",29,0.000333525014376078
"657","daughter",29,0.000333525014376078
"658","effort",29,0.000333525014376078
"659","either",29,0.000333525014376078
"660","feet",29,0.000333525014376078
"661","firm",29,0.000333525014376078
"662","fresh",29,0.000333525014376078
"663","join",29,0.000333525014376078
"664","kansa",29,0.000333525014376078
"665","key",29,0.000333525014376078
"666","lake",29,0.000333525014376078
"667","level",29,0.000333525014376078
"668","moment",29,0.000333525014376078
"669","particular",29,0.000333525014376078
"670","previous",29,0.000333525014376078
"671","review",29,0.000333525014376078
"672","roll",29,0.000333525014376078
"673","shoot",29,0.000333525014376078
"674","star",29,0.000333525014376078
"675","sweet",29,0.000333525014376078
"676","touch",29,0.000333525014376078
"677","type",29,0.000333525014376078
"678","window",29,0.000333525014376078
"679","written",29,0.000333525014376078
"680","awesom",28,0.000322024151811386
"681","bar",28,0.000322024151811386
"682","claim",28,0.000322024151811386
"683","daili",28,0.000322024151811386
"684","david",28,0.000322024151811386
"685","dead",28,0.000322024151811386
"686","degre",28,0.000322024151811386
"687","didn’t",28,0.000322024151811386
"688","dog",28,0.000322024151811386
"689","drop",28,0.000322024151811386
"690","especi",28,0.000322024151811386
"691","fish",28,0.000322024151811386
"692","grow",28,0.000322024151811386
"693","hall",28,0.000322024151811386
"694","husband",28,0.000322024151811386
"695","imagin",28,0.000322024151811386
"696","item",28,0.000322024151811386
"697","juli",28,0.000322024151811386
"698","known",28,0.000322024151811386
"699","ladi",28,0.000322024151811386
"700","lie",28,0.000322024151811386
"701","link",28,0.000322024151811386
"702","loss",28,0.000322024151811386
"703","propos",28,0.000322024151811386
"704","republican",28,0.000322024151811386
"705","secur",28,0.000322024151811386
"706","statement",28,0.000322024151811386
"707","strong",28,0.000322024151811386
"708","surviv",28,0.000322024151811386
"709","themselv",28,0.000322024151811386
"710","unite",28,0.000322024151811386
"711","washington",28,0.000322024151811386
"712","wine",28,0.000322024151811386
"713","america",27,0.000310523289246693
"714","blood",27,0.000310523289246693
"715","bottl",27,0.000310523289246693
"716","brought",27,0.000310523289246693
"717","campaign",27,0.000310523289246693
"718","chicago",27,0.000310523289246693
"719","crazi",27,0.000310523289246693
"720","danc",27,0.000310523289246693
"721","energi",27,0.000310523289246693
"722","fast",27,0.000310523289246693
"723","fine",27,0.000310523289246693
"724","form",27,0.000310523289246693
"725","fuck",27,0.000310523289246693
"726","gift",27,0.000310523289246693
"727","hurt",27,0.000310523289246693
"728","insid",27,0.000310523289246693
"729","michael",27,0.000310523289246693
"730","mile",27,0.000310523289246693
"731","ohio",27,0.000310523289246693
"732","onlin",27,0.000310523289246693
"733","relationship",27,0.000310523289246693
"734","sens",27,0.000310523289246693
"735","sent",27,0.000310523289246693
"736","spot",27,0.000310523289246693
"737","studi",27,0.000310523289246693
"738","ticket",27,0.000310523289246693
"739","troubl",27,0.000310523289246693
"740","twitter",27,0.000310523289246693
"741","wall",27,0.000310523289246693
"742","wear",27,0.000310523289246693
"743","west",27,0.000310523289246693
"744","wrote",27,0.000310523289246693
"745","yearold",27,0.000310523289246693
"746","access",26,0.000299022426682001
"747","agenc",26,0.000299022426682001
"748","amount",26,0.000299022426682001
"749","bowl",26,0.000299022426682001
"750","budget",26,0.000299022426682001
"751","candid",26,0.000299022426682001
"752","cloth",26,0.000299022426682001
"753","club",26,0.000299022426682001
"754","compar",26,0.000299022426682001
"755","consum",26,0.000299022426682001
"756","dress",26,0.000299022426682001
"757","gone",26,0.000299022426682001
"758","hey",26,0.000299022426682001
"759","hill",26,0.000299022426682001
"760","hotel",26,0.000299022426682001
"761","huge",26,0.000299022426682001
"762","lack",26,0.000299022426682001
"763","land",26,0.000299022426682001
"764","limit",26,0.000299022426682001
"765","notic",26,0.000299022426682001
"766","photo",26,0.000299022426682001
"767","quarter",26,0.000299022426682001
"768","radio",26,0.000299022426682001
"769","rather",26,0.000299022426682001
"770","realiz",26,0.000299022426682001
"771","regular",26,0.000299022426682001
"772","respond",26,0.000299022426682001
"773","scene",26,0.000299022426682001
"774","sell",26,0.000299022426682001
"775","session",26,0.000299022426682001
"776","seven",26,0.000299022426682001
"777","squar",26,0.000299022426682001
"778","station",26,0.000299022426682001
"779","sugar",26,0.000299022426682001
"780","tip",26,0.000299022426682001
"781","version",26,0.000299022426682001
"782","voic",26,0.000299022426682001
"783","wont",26,0.000299022426682001
"784","yeah",26,0.000299022426682001
"785","abil",25,0.000287521564117309
"786","attack",25,0.000287521564117309
"787","began",25,0.000287521564117309
"788","beyond",25,0.000287521564117309
"789","box",25,0.000287521564117309
"790","brown",25,0.000287521564117309
"791","child",25,0.000287521564117309
"792","church",25,0.000287521564117309
